PLATE_E MJD_E FIBER_E THING_ID_E PLATE_B MJD_B FIBER_B THING_ID_B
7822 57041 356 72685968 4241 55450 367 72747225
7822 57041 356 72685968 3651 55247 108 72747225
7822 57041 359 72685428 4241 55450 373 72746685
7822 57041 422 72688295 4241 55450 456 72749551
7822 57041 422 72688295 4240 55455 136 72749551
7822 57041 422 72688295 3650 55244 8 72749551
7822 57041 430 68769352 4240 55455 170 68807483
7822 57041 430 68769352 3651 55247 282 68807483
7822 57041 434 68769379 3650 55244 52 68807510
7822 57041 440 72691918 3650 55244 102 72753176
7822 57041 440 72691918 4240 55455 216 72753176
7822 57041 446 78074209 4240 55455 102 78161622
7822 57041 446 78074209 4241 55450 443 78161622
7822 57041 456 82630346 4241 55450 464 82738108
7822 57041 456 82630346 3651 55247 226 82738108
7822 57041 460 82632314 4240 55455 153 82740081
7822 57041 464 78071182 4240 55455 174 78158583
7822 57041 496 78066856 4240 55455 268 78154252
7822 57041 496 78066856 3651 55247 341 78154252
7822 57041 516 94120279 4240 55455 238 94282726
7822 57041 516 94120279 3651 55247 355 94282726
7822 57041 520 88077461 3650 55244 196 88204240
7822 57041 520 88077461 4240 55455 276 88204240
7822 57041 522 97065441 4240 55455 854 97238217
7822 57041 522 97065441 3650 55244 940 97238217
7822 57041 522 97065441 4241 55450 533 97238217
7822 57041 526 92146789 4240 55455 858 92295893
7822 57041 526 92146789 4241 55450 528 92295893
7822 57041 533 92146386 3650 55244 140 92295489
7822 57041 533 92146386 4241 55450 488 92295489
7822 57041 535 92146722 3651 55247 272 92295826
7822 57041 535 92146722 4241 55450 490 92295826
7822 57041 535 92146722 4240 55455 196 92295826
7822 57041 538 88084435 4240 55455 188 88211233
7822 57041 538 88084435 3650 55244 130 88211233
7822 57041 558 103496102 4240 55455 810 103680909
7822 57041 558 103496102 3650 55244 936 103680909
7822 57041 558 103496102 3651 55247 726 103680909
7822 57041 568 103494939 4240 55455 890 103679742
7822 57041 575 92143870 4241 55450 579 92292958
7822 57041 575 92143870 4240 55455 900 92292958
7822 57041 575 92143870 3650 55244 80 92292958
7822 57041 578 92145449 4241 55450 480 92294547
7822 57041 578 92145449 4240 55455 158 92294547
7822 57041 580 88088903 4240 55455 116 88215709
7822 57041 582 119189975 4240 55455 908 119384827
7822 57041 593 103494522 3650 55244 984 103679325
7822 57041 593 103494522 4241 55450 572 103679325
7822 57041 593 103494522 4240 55455 889 103679325
7822 57041 595 108624050 4240 55455 883 108812811
7822 57041 595 108624050 4241 55450 567 108812811
7822 57041 595 108624050 3651 55247 766 108812811
7822 57041 598 108625237 4241 55450 523 108813997
7822 57041 598 108625237 3650 55244 968 108813997
7822 57041 602 103493941 3651 55247 809 103678743
7822 57041 602 103493941 4240 55455 930 103678743
7822 57041 614 92142659 3650 55244 33 92291739
7822 57041 614 92142659 4241 55450 620 92291739
7822 57041 622 114444320 3651 55247 873 114631916
7822 57041 630 108622017 4240 55455 962 108810779
7822 57041 630 108622017 3651 55247 850 108810779
7822 57041 630 108622017 4241 55450 608 108810779
7822 57041 642 92141902 4240 55455 978 92290982
7822 57041 642 92141902 3651 55247 200 92290982
7822 57041 652 92141555 4240 55455 980 92290635
7822 57041 652 92141555 4241 55450 616 92290635
7822 57041 664 119088641 4241 55450 666 119283417
7822 57041 668 110601558 4240 55455 988 110796314
7822 57041 686 103489966 4241 55450 690 103674768
7822 57041 686 103489966 4240 55455 984 103674768
7822 57041 686 103489966 3651 55247 890 103674768
7822 57041 694 92139590 4240 55455 19 92288654
7822 57041 694 92139590 3651 55247 140 92288654
7822 57041 712 110600947 3651 55247 960 110795702
7822 57041 712 110600947 4241 55450 720 110795702
7822 57041 721 97080843 4241 55450 698 97253618
