PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID PLUG_RA PLUG_DEC SPECTROFLUX_1 SPECTROFLUX_2 SPECTROFLUX_3
10000 57346 92 341840093 8105 301 1 136 316 30.482579999999984 26.479021 6.642873764038086 6.546149253845215 6.600759983062744
10000 57346 100 341840412 8105 301 1 136 580 30.633983 26.598505 2.444693088531494 1.7918920516967773 1.5159285068511963
10000 57346 136 340637645 8097 301 1 52 316 30.295799999999986 26.42843 4.409947872161865 3.1969668865203857 2.4449515342712402
10000 57346 172 342652719 8105 301 1 133 555 30.135539999999992 26.538557 0.2019333839416504 0.2024582475423813 0.22658208012580872
10000 57346 260 341123990 8097 301 1 50 401 29.971317 26.539365 0.5329379439353943 0.4704384207725525 0.3671676814556122
10000 57346 266 344738135 8097 301 2 49 517 29.77659699999998 26.913856 1.2990880012512207 0.7405164241790771 0.44463086128234863
10000 57346 280 346955029 8105 301 2 129 598 29.58091300000001 27.239625 3.8902809619903564 2.857750177383423 2.157210350036621
10000 57346 307 345257490 8097 301 2 47 669 29.558925999999985 27.022912 1.5584943294525146 1.0564111471176147 0.8218600749969482
10000 57346 364 336426277 8056 301 5 124 374 29.406819999999982 25.966043 7.622061252593994 5.346566200256348 4.765122890472412
10000 57346 436 346239524 8097 301 2 43 501 28.759446000000025 27.023727 2.0117154121398926 1.820035696029663 2.0524098873138428
10000 57346 456 341037487 8056 301 6 119 628 28.751423999999986 26.525284 0.7223401069641113 0.6559613347053528 0.6519091129302979
10000 57346 482 343269820 7937 301 6 219 427 28.328433000000018 26.640984 1.5587718486785889 1.3365784883499146 0.9777347445487976
10000 57346 484 343388415 8097 301 1 41 369 28.505741999999998 26.811449 2.320605516433716 1.2963850498199463 0.8464516997337341
10000 57346 502 352296078 8105 301 3 121 583 28.352938999999992 27.81459 4.595093250274658 3.7224273681640625 3.0268890857696533
10000 57346 536 348420585 8105 301 2 123 327 28.576922000000025 27.27567 4.683528900146484 3.4409844875335693 3.1074883937835693
10000 57346 556 353354706 8097 301 4 41 465 28.665636000000006 27.913668 0.4053684175014496 0.28683292865753174 0.2611585259437561
10000 57346 604 351278054 8105 301 3 125 311 29.034977000000026 27.67609 1.7430018186569214 1.0965379476547241 1.0930287837982178
10000 57346 642 351046414 8105 301 3 126 422 29.206838000000005 27.677376 4.033249378204346 3.3739829063415527 3.114075183868408
10000 57346 732 350283464 8105 301 3 129 493 29.637520999999992 27.566325 3.670769691467285 2.7943308353424072 2.3106377124786377
10000 57346 818 348052255 8097 301 3 49 453 29.892284000000018 27.348591 1.6497973203659058 2.1557505130767822 2.0508999824523926
10000 57346 821 359651222 8105 301 6 131 367 30.179564000000028 28.696512 1.2574222087860107 1.5671741962432861 1.3296586275100708
10000 57346 888 350868168 8097 301 4 51 228 30.409065999999996 27.662013 8.792840957641602 7.564804553985596 7.888191223144531
10000 57346 890 350610703 8097 301 4 52 621 30.511517000000026 27.647265 2.4455111026763916 1.8575917482376099 1.6237163543701172
10000 57346 910 355334956 8105 301 5 135 400 30.764459999999985 28.25866 4.406465530395508 2.5861332416534424 2.77451229095459
10000 57346 914 355636146 8105 301 5 134 378 30.710758999999996 28.252676 8.761299133300781 5.918125629425049 5.874300479888916
10000 57346 952 355058548 8105 301 5 136 360 30.969396000000017 28.154529 5.388339042663574 4.218945503234863 3.753847122192383
10000 57346 999 349534382 8097 301 4 56 456 31.18612300000001 27.480021 1.5046560764312744 0.9662513136863708 0.6626749038696289
7572 56944 5 267246461 8096 301 5 47 520 331.51805 17.56571 6.780777454376221 7.3022541999816895 6.8436760902404785
7572 56944 226 272920497 8102 301 2 42 937 330.50070000000005 18.283718 0.9199873208999634 1.0093718767166138 0.9381049871444702
7572 56944 348 270126146 8108 301 2 51 961 329.90977999999996 17.997903 0.8625099658966064 1.218170404434204 1.5080957412719727
7572 56944 504 277500052 8102 301 4 34 180 329.13168999999994 18.85198 2.541818857192993 2.5015485286712646 3.1139397621154785
7572 56944 520 276061714 8108 301 4 48 651 329.34583999999995 18.704481 0.8184949159622192 1.1574281454086304 1.7053736448287964
7572 56944 526 275822186 8108 301 4 47 803 329.0460499999999 18.683957 0.6847994923591614 0.8708205223083496 0.5486727952957153
7572 56944 648 277136879 8108 301 4 52 963 329.81719999999996 18.844994 1.6817359924316406 1.3581944704055786 1.2698140144348145
7572 56944 684 279403960 8102 301 4 41 447 330.20720000000006 19.018565 1.9844975471496582 2.380889415740967 2.6426010131835938
7572 56944 716 281302088 8108 301 5 55 915 330.29801 19.425795 3.473822593688965 3.7615914344787598 3.9920763969421387
7572 56944 730 277695513 8108 301 4 54 693 330.29338000000007 18.815878 4.1860456466674805 4.246336460113525 4.28264856338501
7572 56944 743 285177146 4836 301 1 180 697 330.4485199999999 19.77142 3.298178195953369 3.284435749053955 3.3675549030303955
7572 56944 827 287472265 4880 301 1 22 1058 330.70876999999996 19.991611 1.4868528842926025 1.514014482498169 1.5536104440689087
7572 56944 831 285864382 7708 301 1 22 865 330.70127 19.863813 2.8049848079681396 2.600215435028076 2.6315083503723145
7572 56944 881 277376098 8102 301 3 46 832 331.02391 18.761037 4.4591169357299805 5.13877010345459 5.6140947341918945
7572 56944 907 284867585 8102 301 5 49 72 331.30533 19.733974 2.4371516704559326 2.434312343597412 2.6720967292785645
7572 56944 925 277867345 8102 301 3 48 803 331.32278999999994 18.883875 1.7289434671401978 1.9009510278701782 1.868596076965332
7572 56944 1000 275530315 8102 301 2 52 913 332.04826 18.653617 2.7046453952789307 2.5911693572998047 2.478628635406494
7573 56946 254 281523639 4836 301 1 168 790 328.56521999999995 19.402212 5.301152229309082 5.547007083892822 6.453988552093506
7573 56946 264 283392625 4879 301 1 178 1187 328.54422 19.645622 2.658862590789795 3.9466991424560547 4.290433406829834
7573 56946 268 285194646 4836 301 2 169 707 328.53044 19.815833 2.7405314445495605 2.9296321868896484 2.7822213172912598
7573 56946 398 287986962 4836 301 3 167 888 328.1083699999999 20.138734 2.361907720565796 2.2546470165252686 2.4189510345458984
7573 56946 430 285489369 4879 301 2 174 592 327.90391 19.768339 3.751681089401245 4.014064788818359 4.442111968994141
7573 56946 488 286705417 4836 301 3 163 375 327.54159000000004 19.944465 5.237383842468262 5.6360931396484375 6.545285224914551
7573 56946 540 292220852 4879 301 4 174 921 327.60956 20.691394 7.952400207519531 11.026471138000488 13.882994651794434
7573 56946 591 297757336 4836 301 6 166 618 327.7212400000001 21.289124 7.051370620727539 8.86739730834961 9.662065505981445
7573 56946 594 296246603 4879 301 5 176 1206 327.75382 21.230142 2.9567832946777344 3.518732786178589 3.5556976795196533
7573 56946 672 295023804 4836 301 5 168 1180 328.12030000000004 21.043186 3.866267442703247 3.8463337421417236 3.787724018096924
7573 56946 679 298400178 4836 301 6 168 1200 328.04156 21.339196 3.8894858360290527 5.047425270080566 4.925022602081299
7573 56946 759 294143800 4879 301 4 180 1058 328.5119199999999 20.95364 4.784153461456299 4.930154323577881 5.083409786224365
7573 56946 891 289966248 7708 301 3 13 814 329.11551 20.318936 2.914579153060913 3.447150945663452 3.8551902770996094
7573 56946 902 299021087 4879 301 5 185 1609 329.27387 21.490002 0.41450291872024536 0.8321309089660645 1.0084781646728516
7573 56946 913 299021346 4879 301 5 185 920 329.17291 21.372229 5.641815662384033 6.013453483581543 6.574174404144287
7573 56946 924 293894820 7708 301 4 15 822 329.33776 20.830932 2.337322950363159 1.641855001449585 1.735093116760254
7573 56946 966 290534555 7708 301 3 15 483 329.45540000000005 20.384649 7.102978229522705 8.30966567993164 9.035365104675293
7573 56946 994 293220530 4879 301 3 188 760 329.95272 20.73785 3.2826664447784424 3.3374454975128174 3.3176188468933105
7573 56946 997 293513884 4879 301 3 189 1544 330.08775 20.918019 1.6649067401885986 1.3732006549835205 1.5156723260879517
7574 56945 3 273194872 8108 301 1 76 760 333.85091 18.342608 1.6092451810836792 1.3064581155776978 1.211717963218689
7574 56945 7 274193860 8102 301 1 60 794 333.4359099999999 18.411322 3.1259961128234863 2.3024117946624756 1.9181016683578491
7574 56945 84 269951814 8096 301 5 59 599 333.34816 17.939288 6.313325881958008 6.174542427062988 6.054553508758545
7574 56945 98 271634996 8101 301 6 58 799 333.24523 18.134596 2.22721791267395 2.1416101455688477 1.7241226434707642
7574 56945 180 271191492 8101 301 6 56 718 332.91367 18.040521 3.836151361465454 3.2635810375213623 2.990021228790283
7574 56945 236 276793721 8102 301 2 57 548 332.77351999999996 18.69646 3.9803051948547363 3.92165470123291 4.550050735473633
7574 56945 248 267338613 8101 301 5 54 698 332.68613000000005 17.720023 7.485329627990723 8.469179153442383 8.698995590209961
7574 56945 284 268898723 8096 301 5 54 660 332.59055 17.773486 1.85073721408844 1.7859869003295898 1.5697630643844604
7574 56945 349 272456120 8102 301 1 53 871 332.32246 18.330221 3.6227033138275146 3.4352195262908936 3.057272434234619
7574 56945 422 273824742 8108 301 2 65 953 332.15122999999994 18.517801 3.643768310546875 3.991973638534546 4.078816890716553
7574 56945 427 277208826 8108 301 3 65 966 332.0645400000001 18.789517 2.2567901611328125 2.249124526977539 2.165069818496704
7574 56945 456 271385925 8102 301 1 49 532 331.64573999999993 18.018999 10.036805152893066 8.926159858703613 8.68486213684082
7574 56945 541 289834640 4880 301 1 30 733 331.88136 20.335903 2.373534679412842 2.3956663608551025 2.955909252166748
7574 56945 598 284467275 8108 301 5 67 578 332.10343 19.800675 1.8760671615600586 1.9718141555786133 1.8247534036636353
7574 56945 643 279429705 8102 301 3 54 597 332.27946999999995 19.107803 4.622617721557617 4.740872383117676 4.716582775115967
