PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID PLUG_RA PLUG_DEC SPECTROFLUX_1 SPECTROFLUX_2 SPECTROFLUX_3
7575 56947 519 294205001 7708 301 4 16 994 329.47759999999994 20.839161 3.6997714042663574 5.023090839385986 6.389779567718506
7575 56947 674 301164863 4879 301 5 192 857 330.27682000000004 21.727969 3.413889169692993 5.064176082611084 6.349319934844971
7575 56947 728 298210489 4880 301 4 24 1094 330.65441 21.31462 2.0909039974212646 2.41111421585083 2.195582151412964
7575 56947 756 300007418 7708 301 5 24 475 330.6716 21.585618 5.839953899383545 7.788485050201416 7.132837772369385
7575 56947 831 302637741 4879 301 5 197 819 331.12591 21.823462 3.8724491596221924 4.819422721862793 4.870384693145752
7575 56947 862 305077438 8109 301 1 52 1017 331.26087000000007 22.20898 1.5538984537124634 2.3284189701080322 2.167938470840454
7575 56947 884 295993834 4880 301 3 28 722 331.34682999999995 21.13517 6.378346920013428 8.378479957580566 8.848578453063965
7575 56947 896 294400823 7708 301 3 28 1024 331.44873000000007 20.933283 2.23062801361084 2.679349660873413 2.811253309249878
7575 56947 909 302031613 7708 301 5 31 854 331.71186 21.770141 2.480903387069702 2.8399558067321777 2.701239824295044
7575 56947 916 299982395 4880 301 4 30 907 331.55089 21.592036 1.6679223775863647 1.9715629816055298 1.652406096458435
7576 56948 9 304719860 8110 301 1 46 800 330.20273999999995 22.263143 2.934558153152466 3.13383412361145 3.5020835399627686
7576 56948 204 301807694 4879 301 6 183 1377 328.80701 21.847983 2.6144447326660156 3.0388987064361572 2.923940420150757
7576 56948 218 302115470 4879 301 6 184 976 328.98821999999996 21.919805 3.198911190032959 4.121727466583252 5.195761680603027
7576 56948 223 305412365 8110 301 2 38 1126 328.82179999999994 22.200787 3.808126211166382 4.563153266906738 5.513788223266602
7576 56948 228 305412469 8110 301 2 38 1258 328.87588000000005 22.157122 4.112707614898682 5.361093521118164 6.041096210479736
7576 56948 241 298135314 4879 301 5 182 1058 328.71538 21.398627 4.467713832855225 4.9121479988098145 5.104206085205078
7576 56948 317 308437361 8110 301 3 37 417 328.4861000000001 22.523793 2.9724016189575195 3.8656082153320312 4.1834001541137695
7576 56948 366 300229421 4879 301 6 178 222 328.03375000000005 21.584173 0.44006025791168213 0.25955718755722046 0.34083467721939087
7576 56948 472 306337309 8110 301 3 31 1593 327.67774 22.318721 1.2607187032699585 1.7191182374954224 1.693549633026123
7576 56948 590 315140793 8109 301 6 32 1388 327.50677999999994 23.535644 3.832517147064209 5.188221454620361 5.0020599365234375
7576 56948 634 312833038 8109 301 5 35 971 328.03892999999994 23.202161 5.642740249633789 6.649132251739502 8.22813606262207
7576 56948 658 309496388 8109 301 4 35 1492 328.2658200000001 22.707989 2.223114252090454 2.621189594268799 2.2969095706939697
7576 56948 688 312125712 8110 301 4 38 1070 328.4887100000001 23.126431 1.1769208908081055 2.3026974201202393 4.072934627532959
7576 56948 712 316809920 8116 301 1 37 1125 328.31846999999993 23.52914 1.0323981046676636 1.4135501384735107 1.5776270627975464
7576 56948 835 314895629 8109 301 5 41 933 329.00371999999993 23.297288 3.7593376636505127 4.50775146484375 6.096832275390625
7576 56948 922 311903199 8109 301 4 42 918 329.31428000000005 23.026297 2.5122015476226807 2.855093479156494 3.4546239376068115
7576 56948 955 319860450 8116 301 1 45 1542 329.52616 23.884161 1.354193925857544 1.9295051097869873 1.7787244319915771
7576 56948 966 313195808 8109 301 4 46 879 329.81637 23.257783 3.0992918014526367 3.151214361190796 2.7995238304138184
7577 56944 117 275377028 8096 301 5 85 625 337.3337 18.536689 2.3550403118133545 2.5737266540527344 2.523649215698242
7577 56944 155 273446661 8101 301 5 83 603 337.14833999999996 18.373478 2.2503387928009033 3.4420969486236572 3.507256507873535
7577 56944 175 268146043 8096 301 3 83 486 337.1707799999999 17.755175 6.216434478759766 7.290290355682373 7.506635665893555
7577 56944 192 273271055 8101 301 5 82 511 337.07211000000007 18.300523 8.71406364440918 11.451432228088379 13.0967378616333
7577 56944 366 268429896 8101 301 4 75 927 336.04278 17.773838 0.7291154861450195 0.7240601181983948 0.7659255862236023
7577 56944 407 266125253 8096 301 3 73 930 335.66841999999997 17.533968 1.9075548648834229 2.2270729541778564 2.5387003421783447
7577 56944 420 268225649 8101 301 4 74 759 335.9076600000001 17.713376 1.078751564025879 1.1946263313293457 1.0844132900238037
7577 56944 430 271453053 8101 301 5 73 706 335.64648 18.076025 1.6347615718841553 1.252517580986023 1.149923324584961
7577 56944 546 275578033 8108 301 1 86 826 335.46696999999995 18.588403 2.2945783138275146 1.7307257652282715 2.028052568435669
7577 56944 627 278199019 8102 301 1 77 647 335.95685000000003 18.972065 3.447000026702881 3.8270976543426514 4.3722357749938965
7577 56944 660 280543893 8108 301 2 93 512 336.36487 19.275398 2.3244500160217285 2.1962952613830566 2.676668167114258
7577 56944 694 280544216 8108 301 2 93 971 336.46777999999995 19.294224 3.284329891204834 3.1782307624816895 2.9369137287139893
7577 56944 712 276952685 8108 301 1 92 800 336.3655 18.892301 1.3774677515029907 1.1703180074691772 1.4671716690063477
7577 56944 729 274224253 8096 301 5 79 597 336.48216 18.564004 2.6669020652770996 3.3565664291381836 3.475327968597412
7577 56944 828 277838039 8108 301 1 96 678 336.90734999999995 18.929078 5.232276916503906 6.875362396240234 7.582333564758301
7577 56944 922 280390673 8102 301 1 87 485 337.52765999999997 19.162749 10.441008567810059 9.485063552856445 10.274820327758789
7577 56944 988 277848113 8101 301 6 88 753 337.95709 18.910803 2.050973653793335 2.3659229278564453 2.5750763416290283
7578 56956 13 283246071 8108 301 3 90 868 335.9057700000001 19.533367 2.9740211963653564 3.7307424545288086 3.229215383529663
7578 56956 16 285196195 8102 301 3 78 237 335.99251000000004 19.904899 3.1885602474212646 3.8619158267974854 4.748962879180908
7578 56956 20 285430689 8102 301 3 79 579 336.09322999999995 19.830973 4.681324481964111 5.546989917755127 6.011162757873535
7578 56956 102 282604812 8108 301 3 87 646 335.36925999999994 19.395726 3.554250478744507 5.3438239097595215 6.510648727416992
7578 56956 209 276356400 8102 301 1 69 545 334.76833 18.776053 1.6044665575027466 1.407940149307251 1.1102370023727417
7578 56956 249 278009808 8108 301 2 82 685 334.70028 18.90482 2.552201271057129 3.327821731567383 3.3849446773529053
7578 56956 450 278276968 8102 301 2 63 636 333.76640999999995 18.932883 2.4119246006011963 2.7317955493927 2.444965124130249
7578 56956 564 290643684 8108 301 6 78 593 333.81186 20.433101 4.217741966247559 4.148679256439209 5.012323379516602
7578 56956 613 287480342 8108 301 5 79 921 334.04997000000003 20.010288 1.2125182151794434 1.2616556882858276 1.216585636138916
7578 56956 663 296027136 7708 301 2 46 667 334.39648 21.081919 10.494566917419434 13.490165710449219 14.581939697265625
7578 56956 778 286768404 8102 301 4 70 512 334.6422 19.988684 2.0827484130859375 2.7739105224609375 2.9853436946868896
7578 56956 879 293696082 7708 301 1 50 701 335.11003000000005 20.748605 9.387327194213867 12.332733154296875 13.745795249938965
7578 56956 890 289458062 8108 301 5 87 627 335.16505000000006 20.350854 6.967033863067627 8.100918769836426 9.839399337768555
7578 56956 903 297603000 7708 301 2 52 591 335.27283 21.359274 5.523007392883301 7.4844136238098145 7.811552047729492
7578 56956 911 295809434 4880 301 1 52 742 335.29186000000004 21.055065 3.8503201007843018 3.610168218612671 4.932100296020508
7578 56956 927 289673225 8108 301 5 88 828 335.3579199999999 20.392773 2.2848896980285645 2.609490156173706 3.0075056552886963
7578 56956 946 296366775 4880 301 1 54 816 335.66732 21.159333 4.5622172355651855 4.387309551239014 4.562069416046143
7579 56954 4 297638937 4880 301 2 46 1333 334.3253199999999 21.30507 1.4715765714645386 1.9753481149673462 1.585290789604187
7579 56954 28 299143109 7708 301 3 45 171 334.17073000000005 21.421071 6.348578453063965 6.701304912567139 6.9428887367248535
7579 56954 41 296851049 4880 301 2 43 795 333.76035 21.176168 3.977586507797241 4.679831027984619 5.0531535148620605
7579 56954 114 296851043 4880 301 2 43 780 333.71065999999996 21.285946 3.936662197113037 5.347327709197998 5.750789165496826
